"","term","estimate","std.error","statistic","p.value"
"1","age",-0.0119983900759546,0.0090431921178245,-1.32678703710223,0.184579139722526
"2","horThyes",-0.36142064419926,0.128989848462893,-2.80193091554203,0.00507977502837239
"3","tgrade.L",0.785162572427377,0.185205010515631,4.23942403200324,2.24094012249398e-05
"4","tgrade.Q",-0.247478927699679,0.121365160277682,-2.03912660876853,0.0414373931827776
"5","menostatPost",0.324504637460015,0.180614557269882,1.79666934030752,0.0723881290953663
